fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrIV:1309620_C/T|YDR421W,YDR421W|YDR378C,YDR378C|YPL241C,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
0.1,chrIV:1309620_C/T|YDR421W,YDR421W|YDR378C,YDR378C|YPL241C,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
0.15,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YDR378C,YDR421W|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA
0.2,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YDR378C,YDR421W|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA
0.25,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YDR378C,YDR421W|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA
0.3,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YDR378C,YDR421W|YDR378C,YPL241C|YDR378C,YDR378C|YDR421W,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA
0.35,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YDR378C,YDR421W|YDR378C,YPL241C|YDR378C,YDR378C|YDR421W,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA
0.4,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YDR378C,YDR421W|YDR378C,YPL241C|YDR378C,YDR378C|YDR421W,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA
0.45,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YDR378C,YDR421W|YDR378C,YPL241C|YDR421W,YDR378C|YDR421W,YDR378C|YPL241C,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA
0.5,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YDR378C,YDR421W|YDR378C,YPL241C|YDR421W,YDR378C|YDR421W,YDR378C|YPL241C,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA
0.55,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YPL241C,chrIV:1309620_C/T|YDR378C,YDR421W|YPL241C,YDR421W|YDR378C,YPL241C|YDR421W,YPL241C|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,1,1,1,1,1,1,1,1,1
0.6,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YPL241C,chrIV:1309620_C/T|YDR378C,YDR421W|YPL241C,YDR421W|YDR378C,YPL241C|YDR421W,YPL241C|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,1,1,1,1,1,1,1,1,1
0.65,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YPL241C,chrIV:1309620_C/T|YDR378C,YDR421W|YPL241C,YDR421W|YDR378C,YPL241C|YDR421W,YPL241C|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,1,1,1,1,1,1,1,1,1
0.7,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YPL241C,chrIV:1309620_C/T|YDR378C,YDR421W|YPL241C,YDR421W|YDR378C,YPL241C|YDR421W,YPL241C|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,1,1,1,1,1,1,1,1,1
0.75,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YPL241C,chrIV:1309620_C/T|YDR378C,YDR421W|YPL241C,YDR421W|YDR378C,YPL241C|YDR421W,YPL241C|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,1,1,1,1,1,1,1,1,1
0.8,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YPL241C,chrIV:1309620_C/T|YDR378C,YDR421W|YPL241C,YDR421W|YDR378C,YPL241C|YDR421W,YPL241C|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,1,1,1,1,1,1,1,1,1
0.85,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YPL241C,chrIV:1309620_C/T|YDR378C,YDR421W|YPL241C,YDR421W|YDR378C,YPL241C|YDR421W,YPL241C|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,1,1,1,1,1,1,1,1,1
0.9,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YPL241C,chrIV:1309620_C/T|YDR378C,YDR421W|YPL241C,YDR421W|YDR378C,YPL241C|YDR421W,YPL241C|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,1,1,1,1,1,1,1,1,1
0.95,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YPL241C,chrIV:1309620_C/T|YDR378C,YDR421W|YPL241C,YDR421W|YDR378C,YPL241C|YDR421W,YPL241C|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,1,1,1,1,1,1,1,1,1
1,chrIV:1309620_C/T|YDR421W,chrIV:1309620_C/T|YPL241C,chrIV:1309620_C/T|YDR378C,YDR421W|YPL241C,YDR421W|YDR378C,YPL241C|YDR421W,YPL241C|YDR378C,YDR378C|YDR421W,YDR378C|YPL241C,1,1,1,1,1,1,1,1,1
