fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrVI:107738_C/T|YKR034W,YFL021W|YLR110C,YDR190C|YMR146C,YDR190C|YGR072W,YDR190C|YOR154W,YDR190C|YDR331W,YHR102W|YNL236W,YHR102W|YDR338C,YNL142W|YKR039W,YEL062W|YNL236W,YDR495C|YNL236W,YDR495C|YDR338C,YJL088W|YNL142W,YJL088W|YER094C,YMR146C|YOR154W,YAL040C|YIL122W,YAL040C|YOL127W,YAL040C|YDL195W,YGR072W|YDR190C,YGR072W|YOR154W,YIR029W|YFL021W,YIR029W|YNL142W,YIR029W|YDR441C,YDR441C|YIR029W,YDR441C|YDR253C,YER094C|YJL088W,YER094C|YMR146C,YER094C|YJR011C,YKR039W|YKR034W,YKR039W|YEL063C,YIL122W|YAL040C,YIL122W|YOL127W,YJL110C|YPR162C,YHR029C|YJR152W,YHR029C|YDR253C,YLR142W|YHR037W,YHR037W|YLR142W,YHR037W|YOL127W,YOL127W|YAL040C,YOL127W|YIL122W,YOL127W|YHR037W,YJR011C|YER094C,YOR154W|YDR190C,YOR154W|YMR146C,YOR154W|YGR072W,YKR034W|YFL021W,YDL195W|YAL040C,YDR331W|YDR190C,YDR331W|YNL236W,YPR162C|YJL110C,YJR152W|YHR029C,YJR152W|YKR034W,YDR253C|YFL021W,YDR253C|YDR441C,YDR253C|YHR029C,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
0.1,chrVI:107738_C/T|YKR034W,YFL021W|YLR110C,YDR190C|YMR146C,YDR190C|YGR072W,YDR190C|YOR154W,YDR190C|YDR331W,YHR102W|YNL236W,YHR102W|YDR338C,YNL236W|YHR102W,YNL236W|YEL062W,YNL236W|YDR495C,YEL062W|YNL236W,YJL088W|YNL142W,YJL088W|YER094C,YMR146C|YOR154W,YAL040C|YIL122W,YAL040C|YOL127W,YAL040C|YDL195W,YGR072W|YDR190C,YGR072W|YOR154W,YIR029W|YFL021W,YIR029W|YNL142W,YIR029W|YDR441C,YDR441C|YIR029W,YDR441C|YDR253C,YER094C|YJL088W,YER094C|YMR146C,YER094C|YJR011C,YKR039W|YNL142W,YKR039W|YKR034W,YKR039W|YEL063C,YIL122W|YAL040C,YIL122W|YOL127W,YJL110C|YPR162C,YHR029C|YJR152W,YHR029C|YDR253C,YLR142W|YHR037W,YHR037W|YLR142W,YHR037W|YOL127W,YOL127W|YAL040C,YOL127W|YIL122W,YOL127W|YHR037W,YJR011C|YER094C,YOR154W|YDR190C,YOR154W|YMR146C,YOR154W|YGR072W,YKR034W|YFL021W,YDL195W|YAL040C,YDR331W|YDR190C,YDR338C|YHR102W,YDR338C|YDR495C,YPR162C|YJL110C,YJR152W|YHR029C,YJR152W|YKR034W,YEL063C|YKR039W,YDR253C|YFL021W,YDR253C|YDR441C,YDR253C|YHR029C,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.15,chrVI:107738_C/T|YKR034W,YFL021W|YLR110C,YDR190C|YMR146C,YDR190C|YGR072W,YDR190C|YOR154W,YDR190C|YDR331W,YHR102W|YNL236W,YHR102W|YDR338C,YNL236W|YHR102W,YNL236W|YEL062W,YNL236W|YDR495C,YEL062W|YNL236W,YJL088W|YNL142W,YJL088W|YER094C,YMR146C|YOR154W,YAL040C|YIL122W,YAL040C|YOL127W,YAL040C|YDL195W,YGR072W|YDR190C,YGR072W|YOR154W,YIR029W|YFL021W,YIR029W|YNL142W,YIR029W|YDR441C,YIR029W|YLR053C,YDR441C|YIR029W,YDR441C|YDR253C,YER094C|YMR146C,YER094C|YJR011C,YKR039W|YNL142W,YKR039W|YKR034W,YKR039W|YEL063C,YIL122W|YAL040C,YIL122W|YOL127W,YJL110C|YPR162C,YHR029C|YER094C,YHR029C|YJR152W,YHR029C|YDR253C,YLR142W|YHR037W,YLR142W|YJR011C,YHR037W|YLR142W,YHR037W|YOL127W,YOL127W|YAL040C,YOL127W|YIL122W,YOL127W|YHR037W,YOR154W|YDR190C,YOR154W|YMR146C,YOR154W|YGR072W,YLR053C|YIR029W,YKR034W|YFL021W,YDL195W|YAL040C,YDR331W|YDR190C,YDR338C|YHR102W,YDR338C|YDR495C,YPR162C|YJL110C,YJR152W|YHR029C,YJR152W|YKR034W,YEL063C|YKR039W,YDR253C|YFL021W,YDR253C|YDR441C,YDR253C|YHR029C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.2,chrVI:107738_C/T|YKR034W,YFL021W|YLR110C,YDR190C|YMR146C,YDR190C|YGR072W,YDR190C|YOR154W,YDR190C|YDR331W,YHR102W|YNL236W,YHR102W|YDR338C,YNL236W|YHR102W,YNL236W|YEL062W,YNL236W|YDR495C,YEL062W|YNL236W,YEL062W|YPR162C,YJL088W|YNL142W,YJL088W|YER094C,YMR146C|YOR154W,YAL040C|YIL122W,YAL040C|YOL127W,YAL040C|YDL195W,YGR072W|YDR190C,YGR072W|YOR154W,YIR029W|YFL021W,YIR029W|YNL142W,YIR029W|YDR441C,YIR029W|YLR053C,YDR441C|YIR029W,YDR441C|YDR253C,YER094C|YMR146C,YER094C|YJR011C,YKR039W|YNL142W,YKR039W|YKR034W,YKR039W|YEL063C,YIL122W|YAL040C,YIL122W|YOL127W,YJL110C|YPR162C,YHR029C|YER094C,YHR029C|YJR152W,YHR029C|YDR253C,YLR142W|YHR037W,YLR142W|YJR011C,YHR037W|YLR142W,YHR037W|YOL127W,YOL127W|YAL040C,YOL127W|YIL122W,YOL127W|YHR037W,YOR154W|YDR190C,YOR154W|YMR146C,YOR154W|YGR072W,YLR053C|YIR029W,YKR034W|YFL021W,YDL195W|YAL040C,YDR331W|YDR190C,YDR338C|YHR102W,YDR338C|YDR495C,YPR162C|YEL062W,YPR162C|YJL110C,YJR152W|YHR029C,YJR152W|YKR034W,YEL063C|YKR039W,YDR253C|YFL021W,YDR253C|YDR441C,YDR253C|YHR029C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.25,chrVI:107738_C/T|YKR034W,YFL021W|YLR110C,YDR190C|YMR146C,YDR190C|YGR072W,YDR190C|YOR154W,YDR190C|YDR331W,YDR190C|YPR162C,YHR102W|YNL236W,YHR102W|YDR338C,YNL236W|YHR102W,YNL236W|YEL062W,YNL236W|YDR495C,YEL062W|YNL236W,YEL062W|YPR162C,YJL088W|YNL142W,YJL088W|YER094C,YMR146C|YOR154W,YAL040C|YIL122W,YAL040C|YOL127W,YAL040C|YDL195W,YGR072W|YDR190C,YGR072W|YOR154W,YIR029W|YFL021W,YIR029W|YNL142W,YIR029W|YDR441C,YIR029W|YLR053C,YDR441C|YIR029W,YDR441C|YDR253C,YER094C|YMR146C,YER094C|YJR011C,YKR039W|YNL142W,YKR039W|YKR034W,YKR039W|YEL063C,YIL122W|YAL040C,YIL122W|YOL127W,YJL110C|YPR162C,YHR029C|YER094C,YHR029C|YJR152W,YHR029C|YDR253C,YLR142W|YHR037W,YLR142W|YJR011C,YHR037W|YLR142W,YHR037W|YOL127W,YOL127W|YAL040C,YOL127W|YIL122W,YOL127W|YHR037W,YOR154W|YDR190C,YOR154W|YMR146C,YOR154W|YGR072W,YLR053C|YIR029W,YKR034W|YFL021W,YDL195W|YAL040C,YDR331W|YDR190C,YDR338C|YHR102W,YDR338C|YDR495C,YJR152W|YHR029C,YJR152W|YKR034W,YEL063C|YKR039W,YDR253C|YFL021W,YDR253C|YDR441C,YDR253C|YHR029C,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.3,chrVI:107738_C/T|YKR034W,YFL021W|YLR110C,YDR190C|YMR146C,YDR190C|YGR072W,YDR190C|YOR154W,YDR190C|YDR331W,YDR190C|YPR162C,YHR102W|YNL236W,YHR102W|YDR338C,YNL236W|YHR102W,YNL236W|YEL062W,YNL236W|YDR495C,YEL062W|YNL236W,YEL062W|YPR162C,YJL088W|YNL142W,YJL088W|YER094C,YMR146C|YOR154W,YAL040C|YIL122W,YAL040C|YOL127W,YAL040C|YDL195W,YGR072W|YDR190C,YGR072W|YOR154W,YIR029W|YFL021W,YIR029W|YNL142W,YIR029W|YDR441C,YIR029W|YLR053C,YDR441C|YIR029W,YDR441C|YDR253C,YER094C|YMR146C,YER094C|YJR011C,YKR039W|YNL142W,YKR039W|YKR034W,YKR039W|YEL063C,YIL122W|YAL040C,YIL122W|YOL127W,YJL110C|YPR162C,YHR029C|YER094C,YHR029C|YJR152W,YHR029C|YDR253C,YLR142W|YHR037W,YLR142W|YJR011C,YHR037W|YLR142W,YHR037W|YOL127W,YOL127W|YAL040C,YOL127W|YIL122W,YOL127W|YHR037W,YOR154W|YDR190C,YOR154W|YDR495C,YOR154W|YMR146C,YOR154W|YGR072W,YLR053C|YIR029W,YKR034W|YFL021W,YDL195W|YAL040C,YDR331W|YDR190C,YDR338C|YHR102W,YDR338C|YDR495C,YJR152W|YHR029C,YJR152W|YKR034W,YEL063C|YKR039W,YDR253C|YFL021W,YDR253C|YDR441C,YDR253C|YHR029C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.35,chrVI:107738_C/T|YKR034W,YFL021W|YLR110C,YDR190C|YMR146C,YDR190C|YGR072W,YDR190C|YOR154W,YDR190C|YDR331W,YDR190C|YPR162C,YHR102W|YNL236W,YHR102W|YDR338C,YNL236W|YHR102W,YNL236W|YEL062W,YNL236W|YDR495C,YEL062W|YNL236W,YEL062W|YPR162C,YJL088W|YNL142W,YJL088W|YER094C,YMR146C|YOR154W,YAL040C|YIL122W,YAL040C|YOL127W,YAL040C|YDL195W,YGR072W|YDR190C,YGR072W|YOR154W,YIR029W|YFL021W,YIR029W|YNL142W,YIR029W|YDR441C,YIR029W|YLR053C,YDR441C|YIR029W,YDR441C|YDR253C,YER094C|YMR146C,YER094C|YJR011C,YKR039W|YNL142W,YKR039W|YKR034W,YKR039W|YEL063C,YIL122W|YAL040C,YIL122W|YOL127W,YJL110C|YPR162C,YHR029C|YER094C,YHR029C|YJR152W,YHR029C|YDR253C,YLR142W|YHR037W,YLR142W|YJR011C,YHR037W|YLR142W,YHR037W|YOL127W,YOL127W|YAL040C,YOL127W|YIL122W,YOL127W|YHR037W,YOR154W|YDR190C,YOR154W|YDR495C,YOR154W|YMR146C,YOR154W|YGR072W,YLR053C|YIR029W,YKR034W|YFL021W,YDL195W|YAL040C,YDR331W|YDR190C,YDR338C|YHR102W,YDR338C|YDR495C,YJR152W|YHR029C,YJR152W|YKR034W,YEL063C|YKR039W,YDR253C|YFL021W,YDR253C|YDR441C,YDR253C|YHR029C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,chrVI:107738_C/T|YKR034W,YFL021W|YLR110C,YDR190C|YGR072W,YDR190C|YOR154W,YDR190C|YDR331W,YDR190C|YPR162C,YHR102W|YNL236W,YHR102W|YDR338C,YNL236W|YHR102W,YNL236W|YEL062W,YNL236W|YDR495C,YEL062W|YNL236W,YEL062W|YPR162C,YJL088W|YNL142W,YJL088W|YER094C,YMR146C|YER094C,YMR146C|YOR154W,YAL040C|YIL122W,YAL040C|YOL127W,YAL040C|YDL195W,YGR072W|YDR190C,YIR029W|YFL021W,YIR029W|YNL142W,YIR029W|YDR441C,YIR029W|YLR053C,YDR441C|YIR029W,YDR441C|YDR253C,YER094C|YJR011C,YKR039W|YNL142W,YKR039W|YKR034W,YKR039W|YEL063C,YIL122W|YAL040C,YIL122W|YOL127W,YJL110C|YPR162C,YHR029C|YER094C,YHR029C|YJR152W,YHR029C|YDR253C,YLR142W|YHR037W,YLR142W|YJR011C,YHR037W|YLR142W,YHR037W|YOL127W,YOL127W|YAL040C,YOL127W|YIL122W,YOL127W|YHR037W,YOR154W|YDR190C,YOR154W|YDR495C,YOR154W|YMR146C,YOR154W|YGR072W,YLR053C|YIR029W,YKR034W|YFL021W,YDL195W|YAL040C,YDR338C|YHR102W,YDR338C|YDR495C,YJR152W|YHR029C,YJR152W|YKR034W,YLR110C|YGR072W,YEL063C|YKR039W,YDR253C|YFL021W,YDR253C|YDR441C,YDR253C|YHR029C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.45,chrVI:107738_C/T|YKR034W,YFL021W|YLR110C,YDR190C|YGR072W,YDR190C|YOR154W,YDR190C|YDR331W,YDR190C|YPR162C,YHR102W|YNL236W,YHR102W|YDR338C,YNL236W|YHR102W,YNL236W|YEL062W,YNL236W|YDR495C,YEL062W|YNL236W,YEL062W|YPR162C,YJL088W|YNL142W,YJL088W|YER094C,YMR146C|YER094C,YMR146C|YOR154W,YAL040C|YIL122W,YAL040C|YOL127W,YAL040C|YDL195W,YGR072W|YDR190C,YIR029W|YFL021W,YIR029W|YNL142W,YIR029W|YDR441C,YIR029W|YLR053C,YDR441C|YIR029W,YDR441C|YDR253C,YER094C|YJR011C,YKR039W|YNL142W,YKR039W|YKR034W,YKR039W|YEL063C,YIL122W|YAL040C,YIL122W|YOL127W,YJL110C|YPR162C,YHR029C|YER094C,YHR029C|YJR152W,YHR029C|YDR253C,YLR142W|YHR037W,YLR142W|YJR011C,YHR037W|YLR142W,YHR037W|YOL127W,YOL127W|YAL040C,YOL127W|YIL122W,YOL127W|YHR037W,YOR154W|YDR190C,YOR154W|YDR495C,YOR154W|YMR146C,YOR154W|YGR072W,YLR053C|YIR029W,YKR034W|YFL021W,YDL195W|YAL040C,YDR338C|YHR102W,YDR338C|YDR495C,YJR152W|YHR029C,YJR152W|YKR034W,YLR110C|YGR072W,YEL063C|YKR039W,YDR253C|YFL021W,YDR253C|YDR441C,YDR253C|YHR029C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
