fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrXIII:221398_A/C|YML027W,chrXIII:221398_A/C|YHL024W,YML027W|YLR109W,YBR295W|YHR098C,YBR295W|YPL226W,YBR295W|YOR381W,YKL051W|YKR093W,YHL024W|YKL051W,YLR274W|YMR001C,YLR274W|YLR047C,YLR109W|YPL053C,YOR389W|YDR502C,YOR389W|YJL149W,YOR389W|YLR047C,YLR028C|YGR092W,YEL065W|YJL149W,YEL065W|YOR381W,YML070W|YLR028C,YML070W|YGR154C,YML070W|YBR294W,YDR502C|YOR389W,YHR098C|YLR274W,YJL149W|YML027W,YJL149W|YLR028C,YOR356W|YPL053C,YOR356W|YKR093W,YMR243C|YLR109W,YMR243C|YPL226W,YLR047C|YLR274W,YLR047C|YNR067C,YLR047C|YOR389W,YLR047C|YHR098C,YPL226W|YGR154C,YKR093W|YKL051W,YKR093W|YOR356W,YOR381W|YBR295W,YOR381W|YMR062C,YOR381W|YEL065W,YBR294W|YMR062C,YBR294W|YML070W,YGR181W|YNR067C,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.1,chrXIII:221398_A/C|YML027W,chrXIII:221398_A/C|YHL024W,YML027W|YLR109W,YBR295W|YHR098C,YBR295W|YPL226W,YBR295W|YOR381W,YKL051W|YKR093W,YHL024W|YKL051W,YHL024W|YMR062C,YLR274W|YMR001C,YLR274W|YLR047C,YMR062C|YBR294W,YLR109W|YPL053C,YOR389W|YDR502C,YOR389W|YJL149W,YOR389W|YLR047C,YLR028C|YGR092W,YEL065W|YJL149W,YEL065W|YOR381W,YML070W|YLR028C,YML070W|YGR154C,YML070W|YBR294W,YDR502C|YOR389W,YHR098C|YLR274W,YJL149W|YML027W,YJL149W|YLR028C,YOR356W|YPL053C,YOR356W|YKR093W,YMR243C|YLR109W,YMR243C|YPL226W,YLR047C|YLR274W,YLR047C|YNR067C,YLR047C|YOR389W,YLR047C|YHR098C,YPL226W|YGR154C,YKR093W|YKL051W,YKR093W|YOR356W,YOR381W|YBR295W,YOR381W|YEL065W,YBR294W|YMR062C,YBR294W|YML070W,YGR181W|YNR067C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.15,chrXIII:221398_A/C|YML027W,chrXIII:221398_A/C|YHL024W,YML027W|YLR109W,YBR295W|YHR098C,YBR295W|YPL226W,YBR295W|YOR381W,YKL051W|YKR093W,YHL024W|YKL051W,YHL024W|YMR062C,YLR274W|YMR001C,YLR274W|YLR047C,YMR062C|YBR294W,YLR109W|YPL053C,YOR389W|YDR502C,YOR389W|YJL149W,YOR389W|YLR047C,YLR028C|YGR092W,YEL065W|YJL149W,YEL065W|YOR381W,YML070W|YLR028C,YML070W|YGR154C,YML070W|YBR294W,YDR502C|YOR389W,YHR098C|YLR274W,YJL149W|YML027W,YJL149W|YLR028C,YOR356W|YPL053C,YOR356W|YKR093W,YMR243C|YLR109W,YMR243C|YPL226W,YLR047C|YLR274W,YLR047C|YNR067C,YLR047C|YOR389W,YLR047C|YHR098C,YPL226W|YGR154C,YKR093W|YKL051W,YKR093W|YOR356W,YOR381W|YBR295W,YOR381W|YEL065W,YBR294W|YMR062C,YBR294W|YML070W,YGR181W|YNR067C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.2,chrXIII:221398_A/C|YML027W,chrXIII:221398_A/C|YHL024W,YML027W|YLR109W,YBR295W|YHR098C,YBR295W|YPL226W,YBR295W|YOR381W,YKL051W|YKR093W,YHL024W|YKL051W,YHL024W|YMR062C,YLR274W|YMR001C,YLR274W|YLR047C,YMR062C|YBR294W,YLR109W|YPL053C,YOR389W|YDR502C,YOR389W|YJL149W,YOR389W|YLR047C,YLR028C|YGR092W,YEL065W|YJL149W,YEL065W|YOR381W,YML070W|YLR028C,YML070W|YGR154C,YML070W|YBR294W,YDR502C|YOR389W,YHR098C|YLR274W,YJL149W|YML027W,YJL149W|YLR028C,YOR356W|YPL053C,YOR356W|YKR093W,YMR243C|YLR109W,YMR243C|YPL226W,YLR047C|YLR274W,YLR047C|YNR067C,YLR047C|YOR389W,YLR047C|YHR098C,YPL226W|YGR154C,YKL043W|YGR092W,YKR093W|YKL051W,YKR093W|YOR356W,YOR381W|YBR295W,YOR381W|YEL065W,YBR294W|YMR062C,YBR294W|YML070W,YGR181W|YNR067C,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.25,chrXIII:221398_A/C|YML027W,chrXIII:221398_A/C|YHL024W,YML027W|YLR109W,YBR295W|YHR098C,YBR295W|YPL226W,YBR295W|YOR381W,YKL051W|YKR093W,YHL024W|YKL051W,YHL024W|YMR062C,YLR274W|YMR001C,YLR274W|YLR047C,YMR062C|YBR294W,YLR109W|YPL053C,YOR389W|YDR502C,YOR389W|YJL149W,YOR389W|YLR047C,YLR028C|YGR092W,YEL065W|YJL149W,YEL065W|YOR381W,YML070W|YLR028C,YML070W|YGR154C,YML070W|YBR294W,YDR502C|YOR389W,YHR098C|YLR274W,YJL149W|YML027W,YJL149W|YLR028C,YOR356W|YPL053C,YOR356W|YKR093W,YMR243C|YLR109W,YMR243C|YPL226W,YLR047C|YLR274W,YLR047C|YNR067C,YLR047C|YOR389W,YLR047C|YHR098C,YPL226W|YGR154C,YKL043W|YGR092W,YKR093W|YKL051W,YKR093W|YOR356W,YOR381W|YBR295W,YOR381W|YEL065W,YBR294W|YMR062C,YBR294W|YML070W,YGR181W|YNR067C,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.3,chrXIII:221398_A/C|YML027W,chrXIII:221398_A/C|YHL024W,YML027W|YLR109W,YBR295W|YHR098C,YBR295W|YPL226W,YBR295W|YOR381W,YKL051W|YKR093W,YHL024W|YKL051W,YHL024W|YMR062C,YLR274W|YMR001C,YLR274W|YLR047C,YMR062C|YBR294W,YLR109W|YPL053C,YOR389W|YDR502C,YOR389W|YJL149W,YOR389W|YLR047C,YLR028C|YGR092W,YEL065W|YJL149W,YEL065W|YOR381W,YML070W|YLR028C,YML070W|YGR154C,YML070W|YBR294W,YDR502C|YOR389W,YHR098C|YLR274W,YJL149W|YML027W,YJL149W|YLR028C,YOR356W|YPL053C,YOR356W|YKR093W,YMR243C|YLR109W,YMR243C|YPL226W,YLR047C|YLR274W,YLR047C|YNR067C,YLR047C|YOR389W,YLR047C|YHR098C,YPL226W|YGR154C,YKL043W|YGR092W,YKR093W|YKL051W,YKR093W|YOR356W,YOR381W|YBR295W,YOR381W|YEL065W,YBR294W|YMR062C,YBR294W|YML070W,YGR181W|YNR067C,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.35,chrXIII:221398_A/C|YML027W,chrXIII:221398_A/C|YHL024W,YML027W|YLR109W,YBR295W|YHR098C,YBR295W|YPL226W,YBR295W|YOR381W,YKL051W|YKR093W,YHL024W|YKL051W,YLR274W|YMR001C,YLR274W|YLR047C,YMR062C|YHL024W,YMR062C|YBR294W,YLR109W|YPL053C,YOR389W|YDR502C,YOR389W|YJL149W,YOR389W|YLR047C,YLR028C|YGR092W,YEL065W|YJL149W,YEL065W|YOR381W,YGR154C|YHL024W,YML070W|YLR028C,YML070W|YGR154C,YML070W|YBR294W,YDR502C|YOR389W,YHR098C|YLR274W,YJL149W|YML027W,YJL149W|YLR028C,YOR356W|YPL053C,YOR356W|YKR093W,YMR243C|YLR109W,YMR243C|YPL226W,YLR047C|YLR274W,YLR047C|YNR067C,YLR047C|YOR389W,YLR047C|YHR098C,YPL226W|YGR154C,YKL043W|YGR092W,YKR093W|YKL051W,YKR093W|YOR356W,YOR381W|YBR295W,YOR381W|YEL065W,YBR294W|YMR062C,YBR294W|YML070W,YGR181W|YNR067C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,chrXIII:221398_A/C|YML027W,chrXIII:221398_A/C|YHL024W,YML027W|YLR109W,YBR295W|YHR098C,YBR295W|YPL226W,YBR295W|YOR381W,YKL051W|YKR093W,YHL024W|YKL051W,YLR274W|YMR001C,YLR274W|YLR047C,YMR062C|YHL024W,YMR062C|YBR294W,YLR109W|YPL053C,YOR389W|YDR502C,YOR389W|YJL149W,YOR389W|YLR047C,YLR028C|YGR092W,YEL065W|YJL149W,YEL065W|YOR381W,YGR154C|YHL024W,YML070W|YLR028C,YML070W|YGR154C,YML070W|YBR294W,YDR502C|YOR389W,YHR098C|YLR274W,YJL149W|YML027W,YJL149W|YLR028C,YOR356W|YPL053C,YOR356W|YKR093W,YMR243C|YLR109W,YMR243C|YPL226W,YLR047C|YLR274W,YLR047C|YNR067C,YLR047C|YOR389W,YLR047C|YHR098C,YPL226W|YGR154C,YKL043W|YGR092W,YKR093W|YKL051W,YKR093W|YOR356W,YOR381W|YBR295W,YOR381W|YEL065W,YBR294W|YMR062C,YBR294W|YML070W,YGR181W|YNR067C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.45,chrXIII:221398_A/C|YML027W,chrXIII:221398_A/C|YHL024W,YML027W|YLR109W,YBR295W|YHR098C,YBR295W|YPL226W,YBR295W|YOR381W,YKL051W|YKR093W,YHL024W|YKL051W,YLR274W|YMR001C,YLR274W|YLR047C,YMR062C|YHL024W,YMR062C|YBR294W,YLR109W|YPL053C,YOR389W|YDR502C,YOR389W|YJL149W,YOR389W|YLR047C,YLR028C|YGR092W,YEL065W|YJL149W,YEL065W|YOR381W,YGR154C|YHL024W,YML070W|YLR028C,YML070W|YGR154C,YML070W|YBR294W,YDR502C|YOR389W,YHR098C|YLR274W,YJL149W|YML027W,YJL149W|YLR028C,YOR356W|YPL053C,YOR356W|YKR093W,YMR243C|YLR109W,YMR243C|YPL226W,YLR047C|YLR274W,YLR047C|YNR067C,YLR047C|YOR389W,YLR047C|YHR098C,YPL226W|YGR154C,YKL043W|YGR092W,YKR093W|YKL051W,YKR093W|YOR356W,YOR381W|YBR295W,YOR381W|YEL065W,YBR294W|YMR062C,YBR294W|YML070W,YGR181W|YNR067C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
