fdr,edge names,edge names,edge names,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA
0.05,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YIR027C,NA,1,1,NA
0.1,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.15,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.2,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.25,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.3,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.35,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.4,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.45,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.5,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.55,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.6,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.65,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.7,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.75,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.8,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.85,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.9,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
0.95,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
1,chrXIV:48880_A/G|YNL314W,chrXIV:48880_A/G|YHR218W,chrXIV:48880_A/G|YIR027C,1,1,1
