fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrX:329903_C/T|YJL056C,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,YNL051W|YLR130C,YNL051W|YJR094C,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.1,chrX:329903_C/T|YJL056C,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,YNL051W|YLR130C,YNL051W|YJR094C,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.15,chrX:329903_C/T|YJL056C,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,YNL051W|YLR130C,YNL051W|YJR094C,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.2,chrX:329903_C/T|YJL056C,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,YNL051W|YLR130C,YNL051W|YJR094C,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.25,chrX:329903_C/T|YJL056C,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,YNL051W|YLR130C,YNL051W|YJR094C,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3,chrX:329903_C/T|YJL056C,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,YNL051W|YLR130C,YNL051W|YJR094C,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.35,chrX:329903_C/T|YJL056C,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,YNL051W|YLR130C,YNL051W|YJR094C,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.45,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
